period,state,count,ev,win_rate,profit_loss_ratio,total_profit,max_win,max_loss,ex_max_ev,version
all,ICE_POINT,4,-0.006408524028554017,0.5,0.757922844326799,-0.02563409611421607,0.07308970099667782,-0.07407407407407414,-0.03290793237029796,v2
2018-2019,ICE_POINT,2,0.020635759589248,0.5,2.2971048884670173,0.041271519178496,0.07308970099667782,-0.031818181818181815,-0.031818181818181815,v2
2020-2021,ICE_POINT,1,0.007168458781362067,1.0,,0.007168458781362067,0.007168458781362067,0.007168458781362067,,v2
2022-2023,ICE_POINT,1,-0.07407407407407414,0.0,,-0.07407407407407414,-0.07407407407407414,-0.07407407407407414,,v2
all,ICE_REPAIR,5,-0.00266013745577542,0.6,0.5928580232095161,-0.0133006872788771,0.0695652173913044,-0.06633333333333329,-0.020716476167545378,v2
2018-2019,ICE_REPAIR,2,-0.032516894087069516,0.5,0.019591133053179725,-0.06503378817413903,0.0012995451591942542,-0.06633333333333329,-0.06633333333333329,v2
2020-2021,ICE_REPAIR,2,0.05276822020644359,1.0,,0.10553644041288718,0.0695652173913044,0.03597122302158277,0.03597122302158277,v2
2022-2023,ICE_REPAIR,1,-0.05380333951762524,0.0,,-0.05380333951762524,-0.05380333951762524,-0.05380333951762524,,v2
all,WEAK_REPAIR,45,0.033498847612962256,0.6222222222222222,2.196710019293452,1.5074481425833015,0.33333333333333326,-0.08285714285714287,0.026684427482953823,v2
2018-2019,WEAK_REPAIR,17,0.020776992674767375,0.5294117647058824,2.1562362135672797,0.3532088754710454,0.33333333333333326,-0.08285714285714287,0.0012422213836070085,v2
2020-2021,WEAK_REPAIR,9,0.031350173841213747,0.5555555555555556,2.858404143769546,0.2821515645709237,0.19753086419753074,-0.050724637681159306,0.010577587546674127,v2
2022-2023,WEAK_REPAIR,13,0.019594324554218303,0.6153846153846154,1.3540023532159313,0.25472621920483796,0.16755319148936176,-0.0573333333333333,0.00726441897628968,v2
2024-2025,WEAK_REPAIR,6,0.1028935805560824,1.0,,0.6173614833364944,0.19999999999999996,0.032619775739041824,0.0834722966672989,v2
all,ACCELERATION,49,0.020556336491548314,0.6938775510204082,1.3413372505626024,1.0072604880858673,0.24444444444444452,-0.08017621145374451,0.01589200090919631,v2
2018-2019,ACCELERATION,18,0.02476684079309143,0.7777777777777778,0.9128927260427638,0.4458031342756458,0.24444444444444452,-0.08017621145374451,0.011844628813600072,v2
2020-2021,ACCELERATION,5,0.004092079244860669,0.4,1.8788007865204777,0.020460396224303345,0.07999999999999995,-0.05102040816326524,-0.01488490094392415,v2
2022-2023,ACCELERATION,16,0.01628270152142521,0.6875,1.1770068686685002,0.26052322434280334,0.07920792079207928,-0.05600000000000005,0.012087686903381602,v2
2024-2025,ACCELERATION,10,0.028047373324311498,0.7,3.0618708659224008,0.280473733243115,0.15454545454545449,-0.020715630885122415,0.013992030966406718,v2
all,HIGH_DIVERGENCE,1,0.027472527472527496,1.0,,0.027472527472527496,0.027472527472527496,0.027472527472527496,,v2
2018-2019,HIGH_DIVERGENCE,1,0.027472527472527496,1.0,,0.027472527472527496,0.027472527472527496,0.027472527472527496,,v2
all,RECESSION,47,0.010699572289132887,0.6808510638297872,0.907672124334352,0.5028798975892457,0.07949999999999999,-0.07120085015940487,0.00920391081715751,v2
2018-2019,RECESSION,17,0.007607392443935823,0.6470588235294118,0.9686375710998123,0.129325671546909,0.05555555555555539,-0.049327354260089634,0.0046106322494596,v2
2020-2021,RECESSION,10,0.0122428844184319,0.7,0.8393698489502207,0.12242884418431899,0.07949999999999999,-0.07120085015940487,0.0047698715760354435,v2
2022-2023,RECESSION,11,0.02385843997414585,0.7272727272727273,1.4215997403470613,0.26244283971560434,0.07550644567219156,-0.05583756345177659,0.01869363940434128,v2
2024-2025,RECESSION,9,-0.0012574953175096548,0.6666666666666666,0.46192030519984895,-0.011317457857586893,0.05627705627705623,-0.06118143459915612,-0.00844931426683039,v2
all,EXTREME_PANIC,18,0.0278826166981286,0.6111111111111112,1.896817398714944,0.5018871005663148,0.09905660377358488,-0.05681818181818187,0.023695911576042936,v2
2018-2019,EXTREME_PANIC,5,0.041901527389418616,0.8,1.231901298476723,0.20950763694709307,0.09198493813878433,-0.05334233625928433,0.02938067470207719,v2
2020-2021,EXTREME_PANIC,6,0.02417939573155589,0.5,2.7415407903456486,0.14507637438933535,0.08485856905158067,-0.04731861198738168,0.012043561067550937,v2
2022-2023,EXTREME_PANIC,4,0.0030743857894384476,0.5,1.1511719914117753,0.01229754315775379,0.06199999999999992,-0.05681818181818187,-0.016567485614082045,v2
2024-2025,EXTREME_PANIC,3,0.045001848690710854,0.6666666666666666,2.407221206415844,0.13500554607213255,0.09905660377358488,-0.03539325842696624,0.017974471149273828,v2
