sector_l1,trade_count,win_rate,ev,median_return,std,total_profit_contribution,profit_loss_ratio,avg_sector_limit_up_count,avg_sector_first_board_count,avg_sector_broken_board_rate,avg_sector_advance_ratio,avg_sector_mean_return
社会服务,2,1.0,0.13284796012068742,0.13284796012068742,0.1578212616438138,0.26569592024137484,,0.5,0.5,0.25,0.6069230769230769,0.0034313674550503492
商贸零售,3,1.0,0.1290867694768548,0.03115264797507791,0.1769323124826625,0.3872603084305644,,1.6666666666666667,1.6666666666666667,0.4166666666666667,0.25027011480850997,-0.005731276857356231
建筑材料,1,1.0,0.09403973509933775,0.09403973509933775,,0.09403973509933775,,0.0,0.0,1.0,0.8461538461538461,0.013521019369363785
纺织服饰,1,1.0,0.06346483704974273,0.06346483704974273,,0.06346483704974273,,1.0,1.0,0.0,0.8316831683168316,0.019645411521196365
家用电器,1,1.0,0.05627705627705623,0.05627705627705623,,0.05627705627705623,,1.0,1.0,0.0,0.43434343434343436,-0.001870386186055839
电力设备,7,0.7142857142857143,0.04197031757879947,0.003968253968253884,0.09679955849477798,0.29379222305159625,1.7960780445394116,2.0,2.0,0.31836734693877544,0.5328242243396317,0.002059440960043243
环保,5,1.0,0.0406647066816397,0.022857142857142878,0.041169717246266335,0.20332353340819848,,2.8,2.8,0.2633333333333333,0.681457731096786,0.01583764599636197
传媒,6,0.6666666666666666,0.03801368636217123,0.04195867026055709,0.08239255183968458,0.22808211817302737,1.6670848874390372,2.0,2.0,0.125,0.5055457533412556,0.0012850586014489334
电子,8,0.875,0.036587541177062394,0.04876615746180961,0.034457779671037095,0.29270032941649915,3.0803140202155777,9.0,9.0,0.25794944789510005,0.541808405900978,0.00661009963368997
煤炭,1,1.0,0.03597122302158277,0.03597122302158277,,0.03597122302158277,,0.0,0.0,0.0,0.3333333333333333,-0.004418407566845417
通信,2,1.0,0.03451137389471093,0.03451137389471093,0.034382580062741384,0.06902274778942186,,1.0,1.0,0.5,0.6000797978454582,0.006548662669956684
农林牧渔,8,0.875,0.03349564616008853,0.0331508171406511,0.04624408420764793,0.26796516928070824,0.8625350260681887,0.75,0.75,0.25,0.5376840808404024,-0.0005398410867201164
房地产,2,1.0,0.031161583603219134,0.031161583603219134,0.042231299767646745,0.06232316720643827,,0.5,0.5,0.5,0.2835750315258512,-0.008234813343733549
钢铁,3,1.0,0.030991719481957423,0.02898550724637684,0.01017146849177819,0.09297515844587227,,1.0,1.0,0.0,0.45512549847525213,-0.0014296517086525757
机械设备,14,0.6428571428571429,0.030119695749950586,0.025490196078431393,0.06474992818562998,0.4216757404993082,2.1456706180688276,4.571428571428571,4.571428571428571,0.3626629323057894,0.4178270751798248,-0.002555710637742387
建筑装饰,5,0.6,0.01767343248773649,0.011481056257175618,0.06872589980174625,0.08836716243868245,1.2739259597085222,2.0,2.0,0.36666666666666664,0.5956656638212438,0.008287798706442117
轻工制造,5,0.6,0.01763769418266552,0.017331022530329383,0.047341942247667294,0.0881884709133276,1.6831227400235143,1.4,1.4,0.1,0.4557289313486522,-0.0009191622957587242
计算机,4,0.75,0.015470248888516537,0.011828516200294596,0.05784538193168359,0.06188099555406615,0.7334971045829617,2.5,2.5,0.29583333333333334,0.4641825351888344,-0.0012462646118365228
国防军工,4,0.5,0.01512859371311915,0.011106806147488005,0.037704609313002395,0.0605143748524766,2.8787517305509795,2.0,2.0,0.5833333333333334,0.6531382783882784,0.00918399915099144
汽车,10,0.8,0.014693566410233738,0.02051497856447749,0.03862882453985506,0.14693566410233738,0.6303679294703867,4.1,4.1,0.301969696969697,0.5037493850588497,0.003061971717397682
银行,1,1.0,0.013742071881606659,0.013742071881606659,,0.013742071881606659,,0.0,0.0,0.0,0.2,-0.008057449012994766
交通运输,5,0.8,0.010848370655354966,0.011009174311926533,0.042772201064256284,0.05424185327677483,0.4921511306998874,1.6,1.6,0.2333333333333333,0.4367613680528611,0.003820792748592794
基础化工,12,0.5,0.0014794430083782406,0.0008482716948390876,0.04805456974167003,0.017753316100538888,1.0771932017411314,4.916666666666667,4.916666666666667,0.2470412141464773,0.527375064950533,0.004778044608732064
公用事业,6,0.5,0.0008283488527201094,0.006663809727876631,0.039608231634598826,0.004970093116320656,1.0514875319128512,1.5,1.5,0.3055555555555555,0.4052230663564768,-0.0071303750640557455
医药生物,10,0.4,-0.0004953082194857851,-0.006651884700665145,0.052931710810944096,-0.004953082194857851,1.4651877021107957,4.4,4.4,0.32121212121212117,0.35719048753799393,-0.007064615562558174
食品饮料,3,0.3333333333333333,-0.002514036302107355,0.0,0.05211201054650597,-0.007542108906322065,1.7298553719008276,1.6666666666666667,1.6666666666666667,0.3333333333333333,0.4340038049648654,-0.00015240056867090365
有色金属,4,0.5,-0.007305284720882968,-0.009100365360133335,0.039291153673871995,-0.029221138883531873,0.613222487051703,1.75,1.75,0.3125,0.6079628652109726,0.0069325813092291355
石油石化,1,0.0,-0.015801354401805735,-0.015801354401805735,,-0.015801354401805735,,1.0,1.0,0.0,0.85,0.0213633943349123
非银金融,1,0.0,-0.034482758620689495,-0.034482758620689495,,-0.034482758620689495,,1.0,1.0,0.5,0.5394736842105263,0.0036916143726557493
