date,code,field,replay_value,phase1c_value,abs_diff
20230105,000797.SZ,_membership,ABSENT,PRESENT,
20230105,000564.SZ,_membership,PRESENT,ABSENT,
20230116,600189.SH,_membership,ABSENT,PRESENT,
20230117,601099.SH,_membership,PRESENT,ABSENT,
20230203,000735.SZ,_membership,PRESENT,ABSENT,
20230206,002097.SZ,kind,y2,rzq,
20230206,002097.SZ,avg_inc,0.08678436279296875,-0.012014263511763157,0.0987986263047319
20230206,603050.SH,_membership,ABSENT,PRESENT,
20230206,000564.SZ,_membership,PRESENT,ABSENT,
20230206,600388.SH,_membership,PRESENT,ABSENT,
20230207,000070.SZ,_membership,ABSENT,PRESENT,
20230208,600819.SH,_membership,ABSENT,PRESENT,
20230210,000564.SZ,_membership,PRESENT,ABSENT,
20230214,600984.SH,_membership,PRESENT,ABSENT,
20230215,002043.SZ,_membership,ABSENT,PRESENT,
20230221,600984.SH,_membership,ABSENT,PRESENT,
20230221,603918.SH,_membership,ABSENT,PRESENT,
20230227,600100.SH,_membership,PRESENT,ABSENT,
20230301,002875.SZ,_membership,ABSENT,PRESENT,
20230308,000506.SZ,_membership,PRESENT,ABSENT,
20230309,600246.SH,_membership,ABSENT,PRESENT,
20230313,000564.SZ,_membership,PRESENT,ABSENT,
20230323,002131.SZ,_membership,PRESENT,ABSENT,
20230324,600804.SH,_membership,PRESENT,ABSENT,
20230327,000070.SZ,_membership,ABSENT,PRESENT,
