branch,terminal_state,phase1c_count,phase1d_count,delta
Auction,BRANCH_FILTERED,261,261,0
Auction,FILLED,9,9,0
Auction,MOTHERBOARD_GATED_OUT,71,0,-71
Auction,SLOT_BLOCKED,160,0,-160
RZQ,BRANCH_FILTERED,6,6,0
RZQ,FILLED,5,5,0
RZQ,MOTHERBOARD_GATED_OUT,11,5,-6
RZQ,ROUTED_OUT,39,4,-35
Scorpion,BRANCH_FILTERED,29,29,0
Scorpion,FILLED,1,1,0
YJJ,BRANCH_FILTERED,13,13,0
YJJ,CASH_BLOCKED,2,2,0
YJJ,FILLED,12,12,0
YJJ,MOTHERBOARD_GATED_OUT,14,3,-11
YJJ,ROUTED_OUT,30,6,-24
YJJ,SLOT_BLOCKED,18,9,-9
ZB,BRANCH_FILTERED,53,53,0
ZB,CASH_BLOCKED,21,21,0
ZB,FILLED,18,18,0
ZB,MOTHERBOARD_GATED_OUT,47,47,0
ZB,POSITION_BLOCKED,1,1,0
ZB,ROUTED_OUT,62,0,-62
ZB,SLOT_BLOCKED,26,26,0
