index,date,jq_market_mode,l1a_market_mode,jq_FB,l1a_FB,jq_cand_yjj,l1a_cand_yjj
4,2020-01-08,cautious,cautious,0.0286221869513526,0.0286221869513526,2,2
5,2020-01-09,cautious,cautious,0.0117582569771415,0.0117582569771415,3,3
6,2020-01-10,cautious,cautious,-0.0129004977172726,-0.0129004977172726,2,2
7,2020-01-13,bull,bull,0.0044428292403652,0.0044428292403652,2,2
8,2020-01-14,bull,bull,0.0155603087990455,0.0155603087990455,6,6
9,2020-01-15,bull,bull,0.0146176650814159,0.0146176650814159,2,2
10,2020-01-16,bull,bull,-0.0026496641015636,-0.0026496641015636,1,1
11,2020-01-17,bull,bull,0.0007870158841375,0.0007870158841375,2,2
12,2020-01-20,bull,bull,-0.0058671438615999,-0.0058671438615999,2,2
13,2020-01-21,bull,bull,0.0129185210655959,0.0129185210655959,3,3
14,2020-01-22,bull,bull,0.0400646660638001,0.0400646660638001,0,0
