row,date,column,current_value,baseline_value,diff
22,2020-02-11,available_cash,26536.26000000036,27016.400000000373,-480.14000000001397
23,2020-02-12,available_cash,1356196.8000000005,1356177.5200000005,19.28000000002794
24,2020-02-13,available_cash,1383206.7500000005,1383285.3700000006,-78.62000000011176
25,2020-02-14,available_cash,11431.340000000491,11509.960000000605,-78.62000000011358
26,2020-02-17,available_cash,954064.3200000004,954142.9400000006,-78.62000000022817
27,2020-02-18,available_cash,-10713.029999999562,-10634.40999999945,-78.62000000011176
28,2020-02-19,available_cash,1429427.3600000006,1429505.980000001,-78.62000000034459
29,2020-02-20,available_cash,17926.04000000062,18004.66000000073,-78.62000000011176
30,2020-02-21,available_cash,1361028.3300000003,1361106.950000001,-78.62000000057742
31,2020-02-24,available_cash,23611.230000000505,23689.850000000617,-78.62000000011176
32,2020-02-25,available_cash,1058944.6200000006,1059023.2400000007,-78.62000000011176
33,2020-02-26,available_cash,414478.8200000006,414557.4400000007,-78.62000000011176
34,2020-02-27,available_cash,1486491.3900000006,1486570.0100000007,-78.62000000011176
35,2020-02-28,available_cash,-1543.889999999432,-1465.26999999932,-78.62000000011199
36,2020-03-02,available_cash,1516935.5100000007,1517014.1300000008,-78.62000000011176
37,2020-03-03,available_cash,-662.6299999993062,-153.87999999918975,-508.7500000001164
38,2020-03-04,available_cash,789406.9400000008,789915.6900000009,-508.7500000001164
39,2020-03-05,available_cash,19806.13000000076,18113.220000000903,1692.909999999858
40,2020-03-06,available_cash,431220.5900000008,433267.8100000009,-2047.2200000001467
41,2020-03-09,available_cash,852656.2500000009,852519.590000001,136.65999999991618
42,2020-03-10,available_cash,390326.73000000085,388943.6900000009,1383.039999999979
43,2020-03-11,available_cash,1298155.4000000008,1300450.000000001,-2294.600000000093
44,2020-03-12,available_cash,459562.36000000086,462858.220000001,-3295.8600000001607
45,2020-03-13,available_cash,1426805.0200000007,1427589.1600000008,-784.1400000001304
46,2020-03-16,available_cash,1610573.8100000008,1611357.950000001,-784.1400000001304
47,2020-03-17,available_cash,761.0200000007171,1947.2700000008333,-1186.2500000001162
48,2020-03-18,available_cash,1570292.970000001,1571125.6800000009,-832.7099999999627
49,2020-03-19,available_cash,-7691.289999999339,-7300.70999999909,-390.58000000024913
50,2020-03-20,available_cash,1523470.6100000006,1524180.780000001,-710.1700000003912
51,2020-03-23,available_cash,1523470.6100000006,1524180.780000001,-710.1700000003912
52,2020-03-24,available_cash,1523470.6100000006,1524180.780000001,-710.1700000003912
53,2020-03-25,available_cash,1523470.6100000006,1524180.780000001,-710.1700000003912
54,2020-03-26,available_cash,1046333.5100000008,1047043.6800000012,-710.1700000003912
55,2020-03-27,available_cash,643612.7300000007,644322.9000000011,-710.1700000003912
56,2020-03-30,available_cash,1056878.6500000006,1057588.820000001,-710.1700000003912
57,2020-03-31,available_cash,449718.7100000007,449591.6300000011,127.07999999960884
58,2020-04-01,available_cash,1512201.6800000006,1512916.5100000012,-714.8300000005402
59,2020-04-02,available_cash,757975.4800000007,758690.3100000012,-714.8300000005402
60,2020-04-03,available_cash,754025.2000000007,763815.7500000012,-9790.550000000512
61,2020-04-07,available_cash,1584086.7200000004,1584171.910000001,-85.19000000064261
62,2020-04-08,available_cash,1107369.7500000005,1107160.850000001,208.8999999994412
63,2020-04-09,available_cash,1612464.2700000005,1612566.9700000011,-102.70000000065193
64,2020-04-10,available_cash,1612464.2700000005,1612566.9700000011,-102.70000000065193
65,2020-04-13,available_cash,1612464.2700000005,1612566.9700000011,-102.70000000065193
66,2020-04-14,available_cash,806494.5500000005,805540.9300000011,953.6199999994133
67,2020-04-15,available_cash,1086194.0400000005,1085295.8000000012,898.2399999992922
68,2020-04-16,available_cash,1586063.3600000003,1586133.8600000013,-70.50000000093132
69,2020-04-17,available_cash,1106066.4000000004,1106136.9000000013,-70.50000000093132
70,2020-04-20,available_cash,1599817.6900000004,1599888.190000001,-70.50000000069849
71,2020-04-21,available_cash,1599817.6900000004,1599888.190000001,-70.50000000069849
